"Category","Language","Information_Text"
"Faculty of Computing","English","The Faculty of Computing and Information Technology includes the Department of Computer Science, IT, and Software Engineering, offering BS, MS, and PhD programs."
"Faculty of Computing","Urdu","فیکلٹی آف کمپیوٹنگ اینڈ انفارمیشن ٹیکنالوجی میں کمپیوٹر سائنس، آئی ٹی اور سافٹ ویئر انجینئرنگ کے شعبے شامل ہیں، جو بی ایس، ایم ایس اور پی ایچ ڈی پروگرام پیش کرتے ہیں۔"
"Faculty of Computing","Mixed","Faculty of Computing and IT mein Computer Science, IT, aur Software Engineering ke departments aate hain jo BS, MS, aur PhD programs offer karte hain."
"Computer Science Programs","English","The Department of Computer Science offers BS Computer Science (4 years), BS Artificial Intelligence, BS Data Science, MS Computer Science, MS Artificial Intelligence, and PhD in Computer Science."
"Computer Science Programs","Urdu","شعبہ کمپیوٹر سائنس بی ایس کمپیوٹر سائنس (4 سالہ)، بی ایس آرٹیفیشل انٹیلیجنس، بی ایس ڈیٹا سائنس، ایم ایس کمپیوٹر سائنس، ایم ایس آرٹیفیشل انٹیلیجنس اور کمپیوٹر سائنس میں پی ایچ ڈی کی ڈگری فراہم کرتا ہے۔"
"Computer Science Programs","Mixed","Department of Computer Science mein BS Computer Science, BS Artificial Intelligence, BS Data Science, MS CS, MS AI aur PhD Computer Science programs offered hain."
"Software Engineering","English","The Department of Software Engineering offers a 4-year BS Software Engineering program focusing on software development and design."
"Software Engineering","Urdu","شعبہ سافٹ ویئر انجینئرنگ 4 سالہ بی ایس سافٹ ویئر انجینئرنگ پروگرام پیش کرتا ہے جس کا مرکز سافٹ ویئر ڈویلپمنٹ اور ڈیزائن ہے۔"
"Software Engineering","Mixed","Software Engineering department 4-year BS Software Engineering program offer karta hai jo software development aur design par focus karta hai."
"Information Technology","English","The Department of Information Technology offers BS IT (4 years), MS IT, and BS Cyber Security programs for students interested in systems, networking, and security domains."
"Information Technology","Urdu","شعبہ انفارمیشن ٹیکنالوجی ان طلباء کے لیے بی ایس آئی ٹی (4 سالہ)، ایم ایس آئی ٹی اور بی ایس سائبر سیکیورٹی پروگرام پیش کرتا ہے جو سسٹمز، نیٹ ورکنگ اور سیکیورٹی کے شعبوں میں دلچسپی رکھتے ہیں۔"
"Information Technology","Mixed","Department of IT mein BS IT, MS IT aur BS Cyber Security programs offered hain jo systems, networking aur security fields ke liye hain."
"Business School","English","Malik Firoz Khan Noon Business School offers BBA (4 years), MBA, MPhil Management Sciences, and PhD programs."
"Business School","Urdu","ملک فیروز خان نون بزنس اسکول بی بی اے (4 سالہ)، ایم بی اے، ایم فل مینجمنٹ سائنسز اور پی ایچ ڈی پروگرام پیش کرتا ہے۔"
"Business School","Mixed","Malik Firoz Khan Noon Business School mein BBA (4 years), MBA, MPhil Management Sciences, aur PhD programs parhaye jate hain."
"Faculty of Science","English","The Faculty of Science includes departments like Physics, Chemistry, Botany, Zoology, and Mathematics, offering undergraduate and postgraduate degrees."
"Faculty of Science","Urdu","فیکلٹی آف سائنس میں فزکس، کیمسٹری، باٹنی، زولوجی اور ریاضی جیسے شعبے شامل ہیں، جو انڈرگریجویٹ اور پوسٹ گریجویٹ ڈگریاں پیش کرتے ہیں۔"
"Faculty of Science","Mixed","Faculty of Science mein Physics, Chemistry, Botany, Zoology, aur Mathematics jaise departments BS aur higher degrees offer karte hain."
"Social Sciences","English","The Faculty of Social Sciences offers programs in Economics, Psychology, Sociology, Politics, and International Relations."
"Social Sciences","Urdu","فیکلٹی آف سوشل سائنسز معاشیات، نفسیات، عمرانیات، سیاست اور بین الاقوامی تعلقات میں پروگرام پیش کرتی ہے۔"
"Social Sciences","Mixed","Faculty of Social Sciences mein Economics, Psychology, Sociology, Politics, aur International Relations ke programs shamil hain."
"Pharmacy & Health","English","The Faculty of Pharmacy offers Pharm-D (5 years), MPhil, and PhD programs, along with Allied Health Sciences like Radiography."
"Pharmacy & Health","Urdu","فیکلٹی آف فارمیسی فارم ڈی (5 سالہ)، ایم فل اور پی ایچ ڈی پروگراموں کے ساتھ ساتھ الائیڈ ہیلتھ سائنسز جیسے ریڈیو گرافی کے کورسز بھی پیش کرتی ہے۔"
"Pharmacy & Health","Mixed","Faculty of Pharmacy mein Pharm-D (5 years), MPhil, aur PhD ke sath sath Allied Health Sciences aur Radiography ke programs bhi hote hain."